Li Junguo, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
WANG Pei, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
Wang Peng, Chair Professor, Department of Pharmacology
Wang Pengfei, , Academy for Advanced Interdisciplinary Sciences
WANG Pinghui, Research Professor, School of Innovation and Entrepreneurship
WANG Qi, Assistant Professor, Computer Science and Engineering
WANG Qing, Research Associate Professor, School of Microelectronics
WANG Quan, Chair Professor, Mechanics and Aerospace Engineering
WANG Rong, Associate Professor, Mathematics
WANG Rui, Associate Professor, Electrical and Electronic Engineering
WANG Shanmin, Assistant Professor, Physics
WANG Shuai, Associate Professor, Mechanical and Energy Engineering
WANG Susheng, Professor, Department of Finance
WANG Taihong, Chair Professor, Electrical and Electronic Engineering
WANG Wenjin, Assistant Professor, Biomedical Engineering
WANG Xiaofei, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
WANG Xiaokui, Professor, Social Science Center
WANG Xiaoming, Chair Professor, Mathematics
WANG Xiaoxiao, Research Assistant Professor, Biology
WANG Xin, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
WANG Xinjie, Assistant Professor, Department of Finance
WANG Xuejing, Research Associate Professor, Environmental Science and Engineering
WANG Yang, Teaching Associate Professor, Environmental Science and Engineering
WANG Yang Gang, Associate Professor, Chemistry
Wang Yijin, Associate Professor, School of Medicine
Wang Yong-Bin, Research Associate Professor, Grubbs Institute
WANG Yukun, Professor, School of Medicine
WANG Yunpeng, Research Associate, Mechanics and Aerospace Engineering
WANG Yuze, Assistant Professor, Ocean Science and Engineering
WANG Zheng, Professor, Mechanical and Energy Engineering
WANG Zhenkun, Assistant Professor, School of System Design and Intelligent Manufacturing
WANG Zhongying, Associate Professor, Environmental Science and Engineering
WANG Zhuo, Research Assistant Professor, School of Medicine
Wang  Yuan, Associate professor with tenure, Department of Finance
Wei QiHuo, 教授, Mechanical and Energy Engineering
WEI Weicheng, Lecturer of PE, Sports Center
WEI Yan, Lecturer, Mechanical and Energy Engineering
WEI Zhenhua, Assistant Professor, Ocean Science and Engineering
WEI Zhiyi, Associate Professor, Biology
WEI Zuojun, Research Associate, Mechanics and Aerospace Engineering
WEI  Xuetao, Associate Professor, Computer Science and Engineering
WEN Jialin, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
WEN Jiaqiang, Assistant Professor, Mathematics
WEN Ruitao, Research Associate Scientist, Materials Science and Engineering
WEN Ying, Associate Professor, Art Center
WONG  Keith MC, Associate Professor, Chemistry
WU Changfeng, Professor, Biomedical Engineering
WU Changning, Research Professor, Academy for Advanced Interdisciplinary Sciences
WU Chunhui, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
WU Decheng, Chair professor, Biomedical Engineering
WU Di, Professor of Engineering Practice, School of System Design and Intelligent Manufacturing
WU Jianping, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
WU Jiansheng, Assistant Professor, Physics
WU Jiayu, Research Assistant Professor, Ocean Science and Engineering
WU Jiazhen, Research Associate Scientist, Materials Science and Engineering
WU Jingshen, Chair Professor, School of System Design and Intelligent Manufacturing
WU Jitao, Visiting Professor, Mathematics
WU Lei, Associate Professor, Mechanics and Aerospace Engineering
WU Liusuo, Research Scientist, Physics
WU Sudong, Research Associate Scientist, Academy for Advanced Interdisciplinary Sciences
WU Yan, Professor, Centre for Humanities
WU Yongbo, 讲席教授, Mechanical and Energy Engineering
WU Yongliang, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
WU Zhe, 助理教授, Biology
Yucheng Wang, Associate Researcher, Institute for Quanfum Science and Engineering
Zewei WANG, Research Assistant Professor, Earth and Space Sciences
Zhigang Wu, Associate Researcher, Institute for Quanfum Science and Engineering
Zhongkai Wang, Research Assistant Professor, Institute for Quanfum Science and Engineering
Zilong Wang, Assistant Professor, Department of Medical Neuroscience
Jiayu WAN, Assistant Professor, Mechanical and Energy Engineering
万敏平, Professor, Mechanics and Aerospace Engineering
Bo XIAO, Professor, Biology
HaiPing Xia, Chair Professor, Grubbs Institute
Haitan Xu, Associate Professor, Institute for Quanfum Science and Engineering
Mingzhao Xing, Chair Professor, School of Medicine
Siqun Xu, English Instructor, Center for Language Education
Siyuan Xia, Assistant Professor, Department of Human Cell Biology and Genetics
Tao Xin, Associate Researcher, Institute for Quanfum Science and Engineering
XI Lei, Professor, Biomedical Engineering
XIA Keqing, Chair Professor, Mechanics and Aerospace Engineering
XIA Yu, Assistant Professor, Environmental Science and Engineering
XIAN Tao, Research Assistant Professor, Mechanics and Aerospace Engineering
XIANG Shaohua, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
XIANG Xiaodong, Chair professor, Materials Science and Engineering
Xiangyou Xing, Associate Professor, Grubbs Institute
XIAO Guozhi, Professor, Department of Biochemistry
XIAO Kai, Research Assistant Professor, Environmental Science and Engineering
XIAO Kai, Assistant Professor, Biomedical Engineering
Xiao Xiao, Research Assistant Professor, Electrical and Electronic Engineering
XIAO Yinglin, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
XIE Lin, Research Associate Professor, Physics
XIE Xiaojiang, Associate Professor, Chemistry
XIE Yucong, Associate Professor, Materials Characterization and Preparation Center
XIONG Jie, Chair Professor, Mathematics
XIONG Yi, Assistant Professor, School of System Design and Intelligent Manufacturing
XU Baomin, Chair professor, Materials Science and Engineering
XU Bing, Research Assistant Professor, Electrical and Electronic Engineering
XU Chen, Assistant Professor, Chemistry
XU Cong, Visiting Assistant Professor  , Department of Statistics and Data Science
XU Hongli, Research Assistant Professor, School of Innovation and Entrepreneurship
XU Hu, Professor, Physics
XU Jiaju, Research Assistant Professor, Chemistry
XU Jiankuan, Research Assistant Professor, Earth and Space Sciences
XU Jincheng, Research Assistant Professor, Earth and Space Sciences
XU Jing, Professor, Chemistry
XU Jingping, Professor, Ocean Science and Engineering
XU Minghua, Professor, Chemistry
XU Peng, Research Assistant Professor, Environmental Science and Engineering
XU Qiang, Chair Professor, Materials Science and Engineering
XU Shaolin, Assistant Professor, Mechanical and Energy Engineering
Xu Yang, Assistant Professor, School of Medicine
XU Zedong, Research Assistant Professor, Physics
XU Zhenghe, Chair Professor, Materials Science and Engineering
XU Zhifang, Associate Professor, Physics
XU ZongXiang, Associate Professor, Chemistry
Xu  Shiqing, Assistant Professor, Earth and Space Sciences
XUE Ke, Research Assistant Professor, School of System Design and Intelligent Manufacturing
XUE Qikun, Chair Professor, Physics
XUE Yahui, Assistant professor, Mechanics and Aerospace Engineering
Yuan Xu, Assistant Researcher, Institute for Quanfum Science and Engineering
Bowen Yang, Assistant Professor, Department of Finance
Changsheng You, Assistant Professor, Electrical and Electronic Engineering
Fei Yan, Associate Research, Institute for Quanfum Science and Engineering
Huaiyu Ye, Associate Professor, School of Microelectronics
Huapeng Yu, Assistant Professor, Biology
Kaige Yan, Assistant Professor, Biology
Lingling YE, Associate Professor, Earth and Space Sciences
Ming Yu, Chair Professor, Electrical and Electronic Engineering
QIN Yin, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
Renhong Yan, Assistant Professor, Department of Biochemistry
Shengjun Yang, Associate Researcher, Institute for Quanfum Science and Engineering
Shi Yu, Associate Researcher, Institute for Quanfum Science and Engineering
Tongxing Yan, Assistant Researcher, Institute for Quanfum Science and Engineering
Weijie Yuan, Assistant Professor, Electrical and Electronic Engineering
XiangLong Yu, Research Assistant Professor, Institute for Quanfum Science and Engineering
YAN Feng, Research Associate Professor, Environmental Science and Engineering
YAN Ming, Research Scientist, Materials Science and Engineering
YAN Shuo, Assistant Professor, Department of Finance
YAN Xiaozhi, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
YANG Bing, Associate Professor, Physics
YANG Canhui, Research Associate Scientist, Mechanics and Aerospace Engineering
YANG Dikun, Assistant Professor, Earth and Space Sciences
YANG Dong, Assistant professor, Mechanics and Aerospace Engineering
Yang Feng, Assistant Professor, Chemistry
YANG Guo, Teaching Associate Professor, Centre for Humanities
YANG Hanxu, Lecturer, Political Education and Research Center
Yang He, Distinguished Professor, Centre for Humanities
YANG Hui, Research Associate Professor, Earth and Space Sciences
YANG Jia, Sports field and equipment manager, Sports Center
YANG Jian, Associate Professor, Earth and Space Sciences
YANG Jiang, Associate Professor, Mathematics
YANG Junlong, Research Associate Scientist, Materials Science and Engineering
YANG Li, Lecturer, Centre for Humanities
YANG Liang, Professor, School of Medicine
YANG Lili, 教授, Department of Statistics and Data Science
YANG Liupan, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
Yang Shaoman, Lecturer, Political Education and Research Center
YANG Shuanghua, Chair Professor, Computer Science and Engineering
Yang Tian Gang, Associate Professor, Institute for Quanfum Science and Engineering
YANG Ting, Associate Professor, Earth and Space Sciences
YANG Ting, Professor, Ocean Science and Engineering
YANG Xin, Chair Professor, Environmental Science and Engineering
YANG Xueming, Chair Professor, Chemistry
YANG Xuning, Lecturer, Department of Finance
YANG Yan, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
YANG Yan, Instructor, Mathematics
YANG Yang, Research Associate Professor, Mechanics and Aerospace Engineering
YANG Yannian, Research Assistant Professor, Mechanics and Aerospace Engineering
YANG Yi, Professor（Adjunct Faculty）, Computer Science and Engineering
YANG Yong, Research Associate Professor, College of Engineering
YANG Zaiyue, Professor, Mechanical and Energy Engineering
YANG Zhaojun, Associate Professor, Department of Finance
YANG Zhentao, Research Assistant Professor, Earth and Space Sciences
YAO Jianquan, Visiting Distinguished Professor (Long-Term), Electrical and Electronic Engineering
YAO Jing, Associate Professor, Mathematics
YAO Mingxi, Assistant Professor, Biomedical Engineering
YAO Qiushi, Research Assistant Professor, Physics
YAO Weiqi, Assistant Professor, Ocean Science and Engineering
YAO Xin, Chair Professor, Computer Science and Engineering
YE Bin, Assistant Professor, Environmental Science and Engineering
YE Cai-chao, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
YE Fei, Teaching Professor, Physics
YE Fei, Professor, Materials Science and Engineering
YE Jianhuai, Assistant Professor, College of Engineering
YE Liu, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
YE Liying, Research Assistant Professor, College of Business
YE Mao, Research Assistant Professor, Physics
Ye Maoliang, Associate Professor, Division of Information Systems & Management Engineering
YE Qing, Associate Professor, Chemistry
YE Tao, Professor, Electrical and Electronic Engineering
Ye  Shengyi, Professor, Earth and Space Sciences
YI Jun, 研究助理教授, Mechanical and Energy Engineering
YI Shuping, Research Professor, Environmental Science and Engineering
YIN Xiaoguang, Research Assistant Professor, Environmental Science and Engineering
Yongyang Yu, English Instructor, Center for Language Education
YU Binbin, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
YU Chunquan, Associate Professor, Earth and Space Sciences
YU Cong, Associate Professor, Biology
YU Dapeng, Chair Professor, Institute for Quanfum Science and Engineering
YU Hao, Professor, School of Microelectronics
YU Hongyu, Professor, School of Microelectronics
YU Jianqiao, Assistant Professor, Computer Science and Engineering
Yu Peiyuan, Associate Professor, Chemistry
YU Peng, Research Scientist, Materials Science and Engineering
YU Peng, Associate Professor, Mechanics and Aerospace Engineering
YU Tongxi, Visiting Professor, Mechanics and Aerospace Engineering
YU Xiaoling, , Biology
YU Xiping, Chair Professor, Ocean Science and Engineering
YU Yajun, Associate Professor, Electrical and Electronic Engineering
YU Yang, Research Assistant Professor, Chemistry
YU Yang, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
Yu Yanhao, Research Associate Scientist, Materials Science and Engineering
Yu Yong, Research Assistant Professor, Ocean Science and Engineering
YU  Shiqi, Associate Professor, Computer Science and Engineering
YUAN Bo, Assistant Professor, Computer Science and Engineering
YUAN Changgeng, Assistant Professor, Social Science Center
Yuan Haijun, Professor, Political Education and Research Center
YUAN Hongyan, Associate Professor, Mechanics and Aerospace Engineering
YUAN Xiaofei, Research Assistant Professor, Environmental Science and Engineering
YUNG  Man Hong, Associate Professor, Physics
Baotong Zhang, Assistant Professor, Department of Human Cell Biology and Genetics
Bin Zhu, , School of Public Health and Emergency Management
Chao Wang, Assistant Professor, Department of Statistics and Data Science
CHEANG  U Kei, Assistant Professor, Mechanical and Energy Engineering
CHOU Yu-Min, Assistant Professor, Ocean Science and Engineering
Feichi ZHOU, Assistant Professor, School of Microelectronics
Fucai ZHANG, Associate Professor, Electrical and Electronic Engineering
Fuxing Zeng, Assistant Professor, Biology
Guobiao Zhang, Research Professor, School of Microelectronics
Huawei Zhang, Research Assistant Professor, College of Engineering
Junhua Zhang, Assitant Researcher, Institute for Quanfum Science and Engineering
Manjin Zhong, Associate Researcher, Institute for Quanfum Science and Engineering
Meizhen Zheng, Assistant Professor, Biology
Pan Zheng, Assistant Researcher, Institute for Quanfum Science and Engineering
QIANCHENG Zhao, Assistant Professor, School of Microelectronics
Wen Zhou, Assistant Professor, Biology
Xinting Zhang, English Instructor, Center for Language Education
Yan ZHAO, Assistant Professor, Biology
Yinqian ZHANG, Professor, Computer Science and Engineering
Youpeng Zhong, Assistant researcher, Institute for Quanfum Science and Engineering
Yu-Feng Zhang, Research Assistant Professor, Grubbs Institute
Zeng Chen, Research Assistant Professor, School of Medicine
ZENG Lin, Associate professor, Mechanical and Energy Engineering
ZENG Pingping, Tenure Track Assistant Professor, Mathematics
ZENG Zhenzhong, Associate Professor, Environmental Science and Engineering
ZENG Zhirui, Associate Professor, Ocean Science and Engineering
ZHAI Jingying, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
ZHAI Jixian, Associate Professor, Biology
ZHAN Chenchang, Associate Professor, School of Microelectronics
ZHANG Bi, Chair Professor, Mechanical and Energy Engineering
ZHANG Bintian, Assistant Professor, Environmental Science and Engineering
ZHANG Bo, Associate Professor, Biomedical Engineering
Zhang Chen, Research Assistant Professor, Ocean Science and Engineering
ZHANG Chong, Research Assistant Professor, Biomedical Engineering
ZHANG Chuanlun, Chair Professor, Ocean Science and Engineering
ZHANG Dongxiao, Chair Professor, Environmental Science and Engineering
ZHANG Hao, Research Assistant Professor, College of Engineering
ZHANG Haofan, Research Associate Professor, School of Innovation and Entrepreneurship
ZHANG Hong, Chair Professor, Electrical and Electronic Engineering
ZHANG Hongmin, Associate Professor, Biology
ZHANG Jian, 教授, School of Medicine
Zhang Jianchao, Research Assistant Professor, Department of Biochemistry
Zhang Jianfeng, Chair Professor, Earth and Space Sciences
ZHANG Jianmin, Professor of Engineering Practice, School of System Design and Intelligent Manufacturing
ZHANG Jianming, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
ZHANG Jin, Assistant Professor, Computer Science and Engineering
ZHANG Jin, Tenure Track Assistant Professor, Mathematics
ZHANG Jinghong, Associate Professor, Social Science Center
ZHANG Liangchi, Chair Professor, Mechanics and Aerospace Engineering
ZHANG Liyuan, Professor, Physics
ZHANG Lu, Assistant Professor, Biomedical Engineering
ZHANG Mingming, Assistant Professor, College of Engineering
ZHANG Qingfeng, Associate professor, Electrical and Electronic Engineering
ZHANG Shoumin, Professor, Political Education and Research Center
ZHANG Tao, Professor, Political Education and Research Center
ZHANG Tongda, 研究助理教授, Mechanical and Energy Engineering
ZHANG Wei, Professor, Mechanical and Energy Engineering
ZHANG Wei, Professor, Earth and Space Sciences
Zhang Wei, Research Associate, School of Medicine
ZHANG Wenlong, Assistant Professor, Mathematics
ZHANG Wenqing, Professor, Materials Science and Engineering
ZHANG Wenyong, Professor, School of Medicine
ZHANG Xin, Assistant professor, Mechanics and Aerospace Engineering
ZHANG Xinhai, Professor, Electrical and Electronic Engineering
ZHANG Xumu, Chair Professor, Chemistry
Zhang Yingdan, Research Assistant Professor, School of Medicine
ZHANG Youkuan, Teaching Professor, Environmental Science and Engineering
ZHANG Yuanzhu, Associate Professor, Chemistry
ZHANG Yubo, Research Associate Professor, Physics
ZHANG Yuqun, Assistant Professor, Computer Science and Engineering
ZHANG Zhen, Associate Professor, Mathematics
ZHANG Zhenguo, Associate Professor, Earth and Space Sciences
ZHANG Zhiqian, Research Assistant Professor, School of Medicine
ZHANG Zuotai, Professor, Environmental Science and Engineering
ZHANG  Fengwei, Associate Professor, Computer Science and Engineering
ZHANG  Jianguo, Professor, Computer Science and Engineering
ZHANG  Yu, Associate Professor, Computer Science and Engineering
ZHAO Baisong, Research Professor, School of Innovation and Entrepreneurship
ZHAO Changhui, Research Assistant Professor, School of Microelectronics
ZHAO Cong, Research Assistant Professor, School of Microelectronics
ZHAO Fei, Lecturer of PE, Sports Center
ZHAO Fu, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
ZHAO Jianhua, Professor, Research Center for Higher Education
ZHAO Junliang, Research Assistant Professor, Environmental Science and Engineering
ZHAO Xinyan, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
ZHAO Yingcan, Research Assistant Professor, Biomedical Engineering
ZHAO Yipin, Lecturer of PE, Sports Center
ZHAO Yonghua, Assistant Professor, Mechanical and Energy Engineering
ZHAO Yue, Associate Professor, Physics
ZHAO Yusheng, Chair Professor, Physics
ZHENG Chunmiao, Chair Professor, Environmental Science and Engineering
ZHENG Feng, Assistant Professor, Computer Science and Engineering
ZHENG Fengfeng, Research Assistant Professor, Ocean Science and Engineering
ZHENG Guomao, Assistant Professor, Environmental Science and Engineering
ZHENG Jiahao, Research Assistant Professor, Earth and Space Sciences
ZHENG Yan, Chair Professor, Environmental Science and Engineering
ZHENG Yi, Professor, Environmental Science and Engineering
ZHENG Zhiping, Chair Professor, Chemistry
Zhensheng Zhang, Associate Researcher, Institute for Quanfum Science and Engineering
ZHONG Yi, Research Assistant Professor, Ocean Science and Engineering
ZHOU Bo, Associate Professor, Mechanics and Aerospace Engineering
Zhou Ding, Assistant Professor, School of System Design and Intelligent Manufacturing
ZHOU Hao, Chair Professor, College of Business
ZHOU Limin, Chair Professor, School of System Design and Intelligent Manufacturing
Zhou Mingcong, Associate Professor, Art Center
ZHOU Ti, Assistant Professor, Department of Finance
ZHOU Tingyao, Research Assistant Professor, College of Engineering
Zhou Xiumei, Lecturer, Centre for Humanities
ZHOU Youping, Associate Professor, Ocean Science and Engineering
ZHOU YouYun, Associate Professor, Chemistry
ZHOU Zhiyuan, Research Assistant Professor, Ocean Science and Engineering
ZHU Bin, Research Assistant Professor, Physics
ZHU Danling, , Biology
ZHU Jinlong, Research Scientist, Physics
ZHU Lei, Assistant Professor, Environmental Science and Engineering
ZHU Qiang, Chair Professor, Mechanical and Energy Engineering
ZHU Yifei, Tenure-track Assistant Professor, Mathematics
ZHU Yuan, Research Professor, School of Microelectronics
ZHU Yuanmin, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
ZHUANG Xiaoru, Research Assistant Professor, Mechanics and Aerospace Engineering
ZU Jiahe, Professor, Political Education and Research Center